name,gitUrl,commitID,repoName,clone,pomExist,hasHierarchicalPom,lastCommitDate
FasterXML:jackson-databind,https://github.com/FasterXML/jackson-databind.git,590f754864d1e1db403c55d2a226bf876fc3809b,jackson-databind,true,true,false,2024-05-22 18:57:27 -0700
nbogojevic:kafka-operator,https://github.com/nbogojevic/kafka-operator.git,4e368beb09d81d0c56c75666d9fc65224e3c2afd,kafka-operator,true,true,false,2019-07-11 16:12:01 +0200
patrickfav:bcrypt,https://github.com/patrickfav/bcrypt.git,2125d96bb9925f729f8be12aee6a96fd53a49597,bcrypt,true,true,true,
addthis:stream-lib,https://github.com/addthis/stream-lib.git,5a3bc87c5314f7771ea3968e9015a3d25536343e,stream-lib,true,true,false,2019-08-27 17:44:03 -0400
elasticjob:elastic-job-lite,https://github.com/elasticjob/elastic-job-lite.git,d94ce276d9763509cf86246f809d2e714e8500a5,elastic-job-lite,true,true,true,
vert-x3:vertx-sync,https://github.com/vert-x3/vertx-sync.git,cec8c081b10913368e6f7bb591e0750026990243,vertx-sync,true,true,false,2024-05-24 13:49:50 +0200
openzipkin-contrib:brave-opentracing,https://github.com/openzipkin-contrib/brave-opentracing.git,2d68569cc395f4432ce1c99003fc286322b1970b,brave-opentracing,true,true,true,
cloudevents:sdk-java,https://github.com/cloudevents/sdk-java.git,4d204cef89f6f4fb217a3488869bb0e24454fb93,sdk-java,true,true,true,
markhobson:hamcrest-compose,https://github.com/markhobson/hamcrest-compose.git,0f0a8d5887be250f9d2b35ea1ecdffb5d369e0ae,hamcrest-compose,true,true,true,
anshooarora:extentreports-java,https://github.com/anshooarora/extentreports-java.git,925c18aac5e7fe935676822f33803ab0444208e6,extentreports-java,true,true,false,2020-07-17 06:49:37 -0700
ExpediaDotCom:adaptive-alerting,https://github.com/ExpediaDotCom/adaptive-alerting.git,e4293905526a9f22dea6a5ce2677d1264d39f79e,adaptive-alerting,true,true,true,
rometools:rome,https://github.com/rometools/rome.git,6b4a7e89cbf67dab0be32e7517f3d8ae3c2b4d75,rome,true,true,true,
SonarSource:sonar-scanner-maven,https://github.com/SonarSource/sonar-scanner-maven.git,b98e10c02972b04fb3269f068e63dc245e1bc4a3,sonar-scanner-maven,true,true,true,
paypal:sdk-core-java,https://github.com/paypal/sdk-core-java.git,,sdk-core-java,false,false,true,
ronmamo:reflections,https://github.com/ronmamo/reflections.git,f5514b125c4f4b58e92beb0979a40ddce48d5be1,reflections,true,true,false,2023-06-16 00:15:48 +0700
FasterXML:jackson-modules-java8,https://github.com/FasterXML/jackson-modules-java8.git,dc4d47def5ed7515d159feaa018e19143b24fa66,jackson-modules-java8,true,true,true,
ltearno:hexa.tools,https://github.com/ltearno/hexa.tools.git,604c804901b1bb13fe10b3823cc4a639f8993363,hexa.tools,true,true,true,
opentracing-contrib:java-kafka-client,https://github.com/opentracing-contrib/java-kafka-client.git,31ce5260279c2cadf3d69c0acbd50f024afe4660,java-kafka-client,true,true,true,
mgormley:pacaya,https://github.com/mgormley/pacaya.git,786294cbac7cc65dbc32210c10acc32ed0c69233,pacaya,true,true,false,2017-07-06 09:08:51 -0400
sofastack:sofa-tracer,https://github.com/sofastack/sofa-tracer.git,76e05747c6ea3291c56586d1ddc7788c9f35aad9,sofa-tracer,true,true,true,
zalando:failsafe-actuator,https://github.com/zalando/failsafe-actuator.git,4b286761ebf817016ed6092645dfcbd9138a34fd,failsafe-actuator,true,true,false,2021-09-21 10:46:44 +0200
penberg:fjord,https://github.com/penberg/fjord.git,e4acdda6681d162567cb817c49674d3050dd7d75,fjord,true,true,false,2015-04-23 21:32:38 +0300
osglworks:java-di,https://github.com/osglworks/java-di.git,43d0249beb5b726f44393aa4d9eab837525c64bf,java-di,true,true,false,2020-06-27 12:56:03 +1000
augustd:burp-suite-error-message-checks,https://github.com/augustd/burp-suite-error-message-checks.git,d60247f69bc5fb9c9ef8bf8430b5b30fdc23e503,burp-suite-error-message-checks,true,true,false,2023-12-15 01:56:54 -0800
jsonld-java:jsonld-java,https://github.com/jsonld-java/jsonld-java.git,4a7305f26af38b47336fe28ba506a5f2ce0aae43,jsonld-java,true,true,true,
cassiomolin:jersey-jwt,https://github.com/cassiomolin/jersey-jwt.git,eb6bc8cbc3400ed75c733d7c4dccd3e7135c9aac,jersey-jwt,true,true,false,2020-01-15 14:45:33 +0000
git-commit-id:maven-git-commit-id-plugin,https://github.com/git-commit-id/maven-git-commit-id-plugin.git,a27ccf9ec9cc80680366b91de6a48e73a2eba631,maven-git-commit-id-plugin,true,true,false,2024-05-27 22:05:09 +0200
GoogleCloudPlatform:appengine-tck,https://github.com/GoogleCloudPlatform/appengine-tck.git,6ea21bec33ccea2649df187fac06799a63e02725,appengine-tck,true,true,true,
orbisgis:cts,https://github.com/orbisgis/cts.git,379f2e34d7c4f329d70ca1e51c89107fa9450577,cts,true,true,false,2024-01-02 18:01:02 +0100
OpenGamma:Strata,https://github.com/OpenGamma/Strata.git,2c097d0bf95aaf0dc9b8e2d8a0a29715fddd36bd,Strata,true,true,true,
rcarz:jira-client,https://github.com/rcarz/jira-client.git,868a5ca8977e0c13b792aeed7a793d55cea743ec,jira-client,true,true,false,2017-07-02 12:30:38 -0700
atomix:copycat,https://github.com/atomix/copycat.git,c90b88ccd5c63d6ea0b49fb77c25e2f3272a7b10,copycat,true,true,true,
letcheng:ProxyPool,https://github.com/letcheng/ProxyPool.git,4b5144d917dbc31c7b9a2d78135a52a59da9c313,ProxyPool,true,true,false,2017-03-04 21:45:02 +0800
tracee:tracee,https://github.com/tracee/tracee.git,15a68e435248f57757beb8ceac6db5b7f6035bb3,tracee,true,true,true,
jhalterman:lyra,https://github.com/jhalterman/lyra.git,3282627d83e2a939d7f540ce0249728cce08eea4,lyra,true,true,false,2023-04-11 18:44:51 -0700
opentracing-contrib:java-jdbc,https://github.com/opentracing-contrib/java-jdbc.git,6722745cbbd61fce8550dd8e1e0d8a828a1e7a3c,java-jdbc,true,true,false,2021-07-21 11:04:03 +0800
spotify:dataenum,https://github.com/spotify/dataenum.git,540464b8b2dfa52282722ab819d9ba27c1be66e6,dataenum,true,true,true,
jdillon:mvnsh,https://github.com/jdillon/mvnsh.git,06a25d4240a87c6f6e972db3239d56125ddb95b0,mvnsh,true,true,true,
sofastack:sofa-acts,https://github.com/sofastack/sofa-acts.git,a84724be46c7a410967c503fbd378c22d7afa7dc,sofa-acts,true,true,true,
astefanutti:metrics-aspectj,https://github.com/astefanutti/metrics-aspectj.git,8af3eba92525b66cf07bdca1d521b0e2899eb921,metrics-aspectj,true,true,true,
ctran:TinyRadius,https://github.com/ctran/TinyRadius.git,c5d4463c32bb5142a4fa5f8526b4a93f24afacb2,TinyRadius,true,true,false,2022-02-02 05:42:53 +0000
LWJGLX:lwjgl3-awt,https://github.com/LWJGLX/lwjgl3-awt.git,2391a4bfb8b124b2ebc182bfc5f9c49f64ccb1ca,lwjgl3-awt,true,true,false,2024-04-08 23:55:49 -0400
FasterXML:woodstox,https://github.com/FasterXML/woodstox.git,7aa010e672d1bb7d81b4650a71705cb2bb524f98,woodstox,true,true,false,2024-04-29 21:10:07 -0700
SonarSource:sonar-scanner-cli,https://github.com/SonarSource/sonar-scanner-cli.git,7e070fb6d45225a283bf4a44c431251af3673635,sonar-scanner-cli,true,true,true,
gmr:rabbitmq-flume-plugin,https://github.com/gmr/rabbitmq-flume-plugin.git,b4c9db81cd64ef84f58d32047ee753c0994f65a3,rabbitmq-flume-plugin,true,true,false,2020-02-25 15:51:11 -0500
pagehelper:Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper.git,30dd0f31e05513f5c6782c241ad10d8e17bf2391,Mybatis-PageHelper,true,true,false,2024-01-30 13:08:12 +0800
sps:mustache-spring-view,https://github.com/sps/mustache-spring-view.git,84f7979456c4327dcee43229838be0380978cc58,mustache-spring-view,true,true,false,2016-11-09 21:25:55 +0000
searchisko:elasticsearch-river-jira,https://github.com/searchisko/elasticsearch-river-jira.git,487a9d8804165ad02264f4300b3ebd11346df6df,elasticsearch-river-jira,true,true,false,2018-04-17 12:49:30 +0200
mitre:HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,b953eeb0842fcadc6a584014611b7b0782f145f8,HTTP-Proxy-Servlet,true,true,false,2023-08-05 23:13:05 -0400
QianmiOpen:dubbo-remoting-netty4,https://github.com/QianmiOpen/dubbo-remoting-netty4.git,9817f20ac62918c8b52b22a78ae7de18a203497a,dubbo-remoting-netty4,true,true,false,2015-04-08 19:11:20 +0800
zalando-incubator:catwatch,https://github.com/zalando-incubator/catwatch.git,27a659abadfc86aefc4bfc742c7ef4cb3d6b55a6,catwatch,true,true,true,
svendiedrichsen:jollyday,https://github.com/svendiedrichsen/jollyday.git,a86a9d7cb6ce74b096d33260aa291ab33370d0de,jollyday,true,true,false,2022-07-12 12:13:09 +0200
xiaolongzuo:everyone-java-blog,https://github.com/xiaolongzuo/everyone-java-blog.git,dcf0ac348ce946e9bb02a952334d28114f24f6cd,everyone-java-blog,true,true,true,
hcoles:pitest,https://github.com/hcoles/pitest.git,dd84e8bad21e410b91c83674243079832935bc03,pitest,true,true,true,
apache:commons-configuration,https://github.com/apache/commons-configuration.git,15e6ec62f1b309bab0bffd139a4790564dc3ca73,commons-configuration,true,true,false,2024-05-24 13:42:23 -0400
rapid7:le_java,https://github.com/rapid7/le_java.git,a349a08b0f43b027cfc261c8e56cea2ed3cc5c51,le_java,true,true,false,2021-12-12 00:51:20 +0000
radkovo:Pdf2Dom,https://github.com/radkovo/Pdf2Dom.git,e19af5b44675c8a60a5c3597517f065ebaef88ec,Pdf2Dom,true,true,false,2022-10-17 11:27:48 +0200
lightblue-platform:lightblue-core,https://github.com/lightblue-platform/lightblue-core.git,57ce258c4ef58ea0a5b6413d6da649c0ef2f33cc,lightblue-core,true,true,true,
snowflakedb:snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc.git,d84639c863bb83c7e4fdfbe18cd0d5f7980f1846,snowflake-jdbc,true,true,true,
swagger-api:swagger-socket,https://github.com/swagger-api/swagger-socket.git,116be447b3ecefa612b7bad8588d943f6ddc1b9d,swagger-socket,true,true,true,
DarLiner:weixin-java-tools,https://github.com/DarLiner/weixin-java-tools.git,2d665723022eceb30aaf8e7bd8bb77fd5bee8914,weixin-java-tools,true,true,true,
timgifford:maven-buildtime-extension,https://github.com/timgifford/maven-buildtime-extension.git,345a912142de926e60e823a2a53ae05184a1a8db,maven-buildtime-extension,true,true,true,
aragozin:jvm-tools,https://github.com/aragozin/jvm-tools.git,4321b54dc0b4f9abc6d1c6f48c884162659fde10,jvm-tools,true,true,true,
Esri:geometry-api-java,https://github.com/Esri/geometry-api-java.git,020a1a9f6e1126663a0a669095e61d265ca95019,geometry-api-java,true,true,false,2024-04-16 09:53:36 -0700
v12technology:fluxtion,https://github.com/v12technology/fluxtion.git,97c1b279a07846d59f0b4afa7e23f9a7b8b625cc,fluxtion,true,true,true,
dropwizard:metrics,https://github.com/dropwizard/metrics.git,3cc3d4d22f33ab804c8c45bcf02d5890e5323d20,metrics,true,true,true,
google:jimfs,https://github.com/google/jimfs.git,aecbdf6d3e4717feb318438821ad982689a9618e,jimfs,true,true,true,
ligboy:retrofit-converter-fastjson,https://github.com/ligboy/retrofit-converter-fastjson.git,9f120ccef2ff88064c7e164557e1699fc17bafca,retrofit-converter-fastjson,true,true,true,
wensiqun:asmsupport,https://github.com/wensiqun/asmsupport.git,b3933a900c6d51046d402969ce897e5549eea914,asmsupport,true,true,true,
