name,gitUrl,commitID,repoName
apache:commons-dbcp,https://github.com/apache/commons-dbcp.git,a363906b,commons-dbcp
indexiatech:antiquity,https://github.com/indexiatech/antiquity.git,4f5cec3,antiquity
making:spring-boot-blank,https://github.com/making/spring-boot-blank.git,f70b3fe,spring-boot-blank
teamed:qulice,https://github.com/teamed/qulice.git,cea4084a,qulice
jenkinsci:java-client-api,https://github.com/jenkinsci/java-client-api.git,fe2601a,java-client-api
fizzed:stork,https://github.com/fizzed/stork.git,c35185c,stork
beijunyi:ParallelGit,https://github.com/beijunyi/ParallelGit.git,8c09df9,ParallelGit
peterchenhdu:tankbattle,https://github.com/peterchenhdu/tankbattle.git,5c5b1f0,tankbattle
takezoe:xlsbeans,https://github.com/takezoe/xlsbeans.git,b4a511f,xlsbeans
DaanVanYperen:artemis-odb-contrib,https://github.com/DaanVanYperen/artemis-odb-contrib.git,19c06f0,artemis-odb-contrib
danielwegener:logback-kafka-appender,https://github.com/danielwegener/logback-kafka-appender.git,175e088,logback-kafka-appender
houbb:opencc4j,https://github.com/houbb/opencc4j.git,289c54d,opencc4j
USCDataScience:sparkler,https://github.com/USCDataScience/sparkler.git,5c22013,sparkler
dogecoin:libdohj,https://github.com/dogecoin/libdohj.git,889ff26e,libdohj
mycila:pubsub,https://github.com/mycila/pubsub.git,c393035,pubsub
knowm:dropwizard-sundial,https://github.com/knowm/dropwizard-sundial.git,c208722,dropwizard-sundial
paypal:resteasy-spring-boot,https://github.com/paypal/resteasy-spring-boot.git,47d2f8a,resteasy-spring-boot
valid4j:valid4j,https://github.com/valid4j/valid4j.git,2f3dd5e,valid4j
Fundynamic:dune2themaker4j,https://github.com/Fundynamic/dune2themaker4j.git,8efc1618,dune2themaker4j
constretto:constretto-core,https://github.com/constretto/constretto-core.git,dbfd210,constretto-core
ihaolin:wechat,https://github.com/ihaolin/wechat.git,57867a0,wechat
ashish-chopra:Structures,https://github.com/ashish-chopra/Structures.git,ce0a8f1,Structures
javabeanz:owasp-security-logging,https://github.com/javabeanz/owasp-security-logging.git,060dcb1,owasp-security-logging
lviggiano:owner,https://github.com/lviggiano/owner.git,3cfeeb5,owner
nutzam:nutzboot,https://github.com/nutzam/nutzboot.git,ce6d1139,nutzboot
QianmiOpen:spring-boot-starter-rocketmq,https://github.com/QianmiOpen/spring-boot-starter-rocketmq.git,97ee466,spring-boot-starter-rocketmq
jcgay:send-notification,https://github.com/jcgay/send-notification.git,ed4027a,send-notification
petterobam:sqlite-oop,https://github.com/petterobam/sqlite-oop.git,947ba92,sqlite-oop
kakawait:cas-security-spring-boot-starter,https://github.com/kakawait/cas-security-spring-boot-starter.git,857685a,cas-security-spring-boot-starter
charite:jannovar,https://github.com/charite/jannovar.git,617064d0,jannovar
yahoo:yql-plus,https://github.com/yahoo/yql-plus.git,e98eb33,yql-plus
GeneralElectric:snowizard,https://github.com/GeneralElectric/snowizard.git,307fdf1,snowizard
faljse:SDNotify,https://github.com/faljse/SDNotify.git,f26960a,SDNotify
greengerong:prerender-java,https://github.com/greengerong/prerender-java.git,f7fc7a5,prerender-java
Kaysoro:KaellyBot,https://github.com/Kaysoro/KaellyBot.git,ef88748,KaellyBot
odavid:maven-plugins,https://github.com/odavid/maven-plugins.git,d1c013a,maven-plugins
netplex:json-smart-v2,https://github.com/netplex/json-smart-v2.git,bfb3dae,json-smart-v2
kawhii:sso,https://github.com/kawhii/sso.git,3f163a3,sso
adridadou:eth-contract-api,https://github.com/adridadou/eth-contract-api.git,1c88d27,eth-contract-api
outbrain:Aletheia,https://github.com/outbrain/Aletheia.git,e0300e5,Aletheia
skuzzle:restrict-imports-enforcer-rule,https://github.com/skuzzle/restrict-imports-enforcer-rule.git,b3ba8f0,restrict-imports-enforcer-rule
jcabi:jcabi-aether,https://github.com/jcabi/jcabi-aether.git,56de832,jcabi-aether
ppiastucki:recast4j,https://github.com/ppiastucki/recast4j.git,6337610,recast4j
ExampleDriven:spring-cloud-eureka-example,https://github.com/ExampleDriven/spring-cloud-eureka-example.git,ca603d3,spring-cloud-eureka-example
tking:JSTUN,https://github.com/tking/JSTUN.git,6516d37,JSTUN
phax:ph-css,https://github.com/phax/ph-css.git,d8acddf,ph-css
AuthorizeNet:sdk-java,https://github.com/AuthorizeNet/sdk-java.git,94492cf,sdk-java
domclick:spring-flow-statemachine,https://github.com/domclick/spring-flow-statemachine.git,2f59751,spring-flow-statemachine
microsoft:botbuilder-java,https://github.com/microsoft/botbuilder-java.git,c0060f6,botbuilder-java
radkovo:jStyleParser,https://github.com/radkovo/jStyleParser.git,c62ba6b,jStyleParser
zycgit:hasor,https://github.com/zycgit/hasor.git,c6b36d711,hasor
FasterXML:aalto-xml,https://github.com/FasterXML/aalto-xml.git,8888233,aalto-xml
hdiv:hdiv,https://github.com/hdiv/hdiv.git,2574009f,hdiv
cassiomolin:jersey-jwt-springsecurity,https://github.com/cassiomolin/jersey-jwt-springsecurity.git,54a8fec,jersey-jwt-springsecurity
junkdog:artemis-odb,https://github.com/junkdog/artemis-odb.git,859790b1,artemis-odb
FasterXML:jackson-datatypes-collections,https://github.com/FasterXML/jackson-datatypes-collections.git,66f7307,jackson-datatypes-collections
yahoo:egads,https://github.com/yahoo/egads.git,eb6c6e4,egads
lukas-krecan:json2xml,https://github.com/lukas-krecan/json2xml.git,1ca16ef,json2xml
e-biz:spring-dbunit,https://github.com/e-biz/spring-dbunit.git,1ec5122,spring-dbunit
Devskiller:friendly-id,https://github.com/Devskiller/friendly-id.git,bc42734,friendly-id
mp911de:microbenchmark-runner,https://github.com/mp911de/microbenchmark-runner.git,da0e12e,microbenchmark-runner
wvengen:proguard-maven-plugin,https://github.com/wvengen/proguard-maven-plugin.git,02e47c0,proguard-maven-plugin
Cognifide:Slice,https://github.com/Cognifide/Slice.git,382453c,Slice
